Train on 60000 samples, validate on 10000 samples
13056/60000 [=====>........................] - ETA: 22s - loss: 0.3345
13184/60000 [=====>........................] - ETA: 22s - loss: 0.3335
13312/60000 [=====>........................] - ETA: 22s - loss: 0.3323
13440/60000 [=====>........................] - ETA: 22s - loss: 0.3312
13568/60000 [=====>........................] - ETA: 22s - loss: 0.3301
13696/60000 [=====>........................] - ETA: 22s - loss: 0.3291
13824/60000 [=====>........................] - ETA: 22s - loss: 0.3280
13952/60000 [=====>........................] - ETA: 22s - loss: 0.3270
14080/60000 [======>.......................] - ETA: 22s - loss: 0.3259
14208/60000 [======>.......................] - ETA: 22s - loss: 0.3250
14336/60000 [======>.......................] - ETA: 22s - loss: 0.3240
14464/60000 [======>.......................] - ETA: 21s - loss: 0.3231
14592/60000 [======>.......................] - ETA: 21s - loss: 0.3222
14720/60000 [======>.......................] - ETA: 21s - loss: 0.3213
14848/60000 [======>.......................] - ETA: 21s - loss: 0.3204
14976/60000 [======>.......................] - ETA: 21s - loss: 0.3195
15104/60000 [======>.......................] - ETA: 21s - loss: 0.3187
15232/60000 [======>.......................] - ETA: 21s - loss: 0.3179
15360/60000 [======>.......................] - ETA: 21s - loss: 0.3171
15488/60000 [======>.......................] - ETA: 21s - loss: 0.3163
15616/60000 [======>.......................] - ETA: 21s - loss: 0.3155
15744/60000 [======>.......................] - ETA: 21s - loss: 0.3146
15872/60000 [======>.......................] - ETA: 21s - loss: 0.3138
16000/60000 [=======>......................] - ETA: 20s - loss: 0.3129
16128/60000 [=======>......................] - ETA: 20s - loss: 0.3121
16256/60000 [=======>......................] - ETA: 20s - loss: 0.3113
16384/60000 [=======>......................] - ETA: 20s - loss: 0.3105
16512/60000 [=======>......................] - ETA: 20s - loss: 0.3099
16640/60000 [=======>......................] - ETA: 20s - loss: 0.3091
16768/60000 [=======>......................] - ETA: 20s - loss: 0.3084
16896/60000 [=======>......................] - ETA: 20s - loss: 0.3077
17024/60000 [=======>......................] - ETA: 20s - loss: 0.3069
17152/60000 [=======>......................] - ETA: 20s - loss: 0.3061
17280/60000 [=======>......................] - ETA: 20s - loss: 0.3054
17408/60000 [=======>......................] - ETA: 20s - loss: 0.3047
17536/60000 [=======>......................] - ETA: 19s - loss: 0.3040
17664/60000 [=======>......................] - ETA: 19s - loss: 0.3034
17792/60000 [=======>......................] - ETA: 19s - loss: 0.3028
17920/60000 [=======>......................] - ETA: 19s - loss: 0.3022
18048/60000 [========>.....................] - ETA: 19s - loss: 0.3016
18176/60000 [========>.....................] - ETA: 19s - loss: 0.3010
18304/60000 [========>.....................] - ETA: 19s - loss: 0.3004
18432/60000 [========>.....................] - ETA: 19s - loss: 0.2998
18560/60000 [========>.....................] - ETA: 19s - loss: 0.2992
18688/60000 [========>.....................] - ETA: 19s - loss: 0.2985
18816/60000 [========>.....................] - ETA: 19s - loss: 0.2979
18944/60000 [========>.....................] - ETA: 19s - loss: 0.2973
19072/60000 [========>.....................] - ETA: 19s - loss: 0.2966
19200/60000 [========>.....................] - ETA: 19s - loss: 0.2960
19328/60000 [========>.....................] - ETA: 18s - loss: 0.2954
19456/60000 [========>.....................] - ETA: 18s - loss: 0.2948
19584/60000 [========>.....................] - ETA: 18s - loss: 0.2942
19712/60000 [========>.....................] - ETA: 18s - loss: 0.2936
19840/60000 [========>.....................] - ETA: 18s - loss: 0.2930
19968/60000 [========>.....................] - ETA: 18s - loss: 0.2924
20096/60000 [=========>....................] - ETA: 18s - loss: 0.2918
20224/60000 [=========>....................] - ETA: 18s - loss: 0.2913
20352/60000 [=========>....................] - ETA: 18s - loss: 0.2909
20480/60000 [=========>....................] - ETA: 18s - loss: 0.2904
20608/60000 [=========>....................] - ETA: 18s - loss: 0.2899
20736/60000 [=========>....................] - ETA: 18s - loss: 0.2894
20864/60000 [=========>....................] - ETA: 18s - loss: 0.2889
20992/60000 [=========>....................] - ETA: 18s - loss: 0.2884
21120/60000 [=========>....................] - ETA: 18s - loss: 0.2880
21248/60000 [=========>....................] - ETA: 17s - loss: 0.2874
21376/60000 [=========>....................] - ETA: 17s - loss: 0.2869
21504/60000 [=========>....................] - ETA: 17s - loss: 0.2864
21632/60000 [=========>....................] - ETA: 17s - loss: 0.2859
21760/60000 [=========>....................] - ETA: 17s - loss: 0.2854
21888/60000 [=========>....................] - ETA: 17s - loss: 0.2850
22016/60000 [==========>...................] - ETA: 17s - loss: 0.2845
22144/60000 [==========>...................] - ETA: 17s - loss: 0.2840
22272/60000 [==========>...................] - ETA: 17s - loss: 0.2836
22400/60000 [==========>...................] - ETA: 17s - loss: 0.2831
