Train on 60000 samples, validate on 10000 samples
50816/60000 [========================>.....] - ETA: 3s - loss: 0.1210
50944/60000 [========================>.....] - ETA: 3s - loss: 0.1210
51072/60000 [========================>.....] - ETA: 3s - loss: 0.1210
51200/60000 [========================>.....] - ETA: 3s - loss: 0.1210
51328/60000 [========================>.....] - ETA: 3s - loss: 0.1210
51456/60000 [========================>.....] - ETA: 3s - loss: 0.1210
51584/60000 [========================>.....] - ETA: 3s - loss: 0.1210
51712/60000 [========================>.....] - ETA: 3s - loss: 0.1209
51840/60000 [========================>.....] - ETA: 3s - loss: 0.1209
51968/60000 [========================>.....] - ETA: 3s - loss: 0.1209
52096/60000 [=========================>....] - ETA: 3s - loss: 0.1209
52224/60000 [=========================>....] - ETA: 3s - loss: 0.1209
52352/60000 [=========================>....] - ETA: 3s - loss: 0.1210
52480/60000 [=========================>....] - ETA: 3s - loss: 0.1210
52608/60000 [=========================>....] - ETA: 3s - loss: 0.1210
52736/60000 [=========================>....] - ETA: 3s - loss: 0.1210
52864/60000 [=========================>....] - ETA: 2s - loss: 0.1210
52992/60000 [=========================>....] - ETA: 2s - loss: 0.1210
53120/60000 [=========================>....] - ETA: 2s - loss: 0.1210
53248/60000 [=========================>....] - ETA: 2s - loss: 0.1210
53376/60000 [=========================>....] - ETA: 2s - loss: 0.1210
53504/60000 [=========================>....] - ETA: 2s - loss: 0.1210
53632/60000 [=========================>....] - ETA: 2s - loss: 0.1210
53760/60000 [=========================>....] - ETA: 2s - loss: 0.1210
53888/60000 [=========================>....] - ETA: 2s - loss: 0.1210
54016/60000 [==========================>...] - ETA: 2s - loss: 0.1210
54144/60000 [==========================>...] - ETA: 2s - loss: 0.1210
54400/60000 [==========================>...] - ETA: 2s - loss: 0.1210
54528/60000 [==========================>...] - ETA: 2s - loss: 0.1210
54656/60000 [==========================>...] - ETA: 2s - loss: 0.1210
54784/60000 [==========================>...] - ETA: 2s - loss: 0.1210
54912/60000 [==========================>...] - ETA: 2s - loss: 0.1210
55040/60000 [==========================>...] - ETA: 2s - loss: 0.1210
55168/60000 [==========================>...] - ETA: 2s - loss: 0.1210
55296/60000 [==========================>...] - ETA: 1s - loss: 0.1210
55424/60000 [==========================>...] - ETA: 1s - loss: 0.1209
55552/60000 [==========================>...] - ETA: 1s - loss: 0.1209
55680/60000 [==========================>...] - ETA: 1s - loss: 0.1209
55808/60000 [==========================>...] - ETA: 1s - loss: 0.1209
55936/60000 [==========================>...] - ETA: 1s - loss: 0.1209
56064/60000 [===========================>..] - ETA: 1s - loss: 0.1209
56192/60000 [===========================>..] - ETA: 1s - loss: 0.1209
56320/60000 [===========================>..] - ETA: 1s - loss: 0.1209
56448/60000 [===========================>..] - ETA: 1s - loss: 0.1209
56576/60000 [===========================>..] - ETA: 1s - loss: 0.1209
56704/60000 [===========================>..] - ETA: 1s - loss: 0.1209
56832/60000 [===========================>..] - ETA: 1s - loss: 0.1209
56960/60000 [===========================>..] - ETA: 1s - loss: 0.1209
57088/60000 [===========================>..] - ETA: 1s - loss: 0.1209
57216/60000 [===========================>..] - ETA: 1s - loss: 0.1209
57344/60000 [===========================>..] - ETA: 1s - loss: 0.1209
57472/60000 [===========================>..] - ETA: 1s - loss: 0.1209
57600/60000 [===========================>..] - ETA: 1s - loss: 0.1209
57728/60000 [===========================>..] - ETA: 0s - loss: 0.1209
57856/60000 [===========================>..] - ETA: 0s - loss: 0.1209
57984/60000 [===========================>..] - ETA: 0s - loss: 0.1209
58112/60000 [============================>.] - ETA: 0s - loss: 0.1209
58240/60000 [============================>.] - ETA: 0s - loss: 0.1209
58368/60000 [============================>.] - ETA: 0s - loss: 0.1209
58496/60000 [============================>.] - ETA: 0s - loss: 0.1209
58624/60000 [============================>.] - ETA: 0s - loss: 0.1209
58752/60000 [============================>.] - ETA: 0s - loss: 0.1209
58880/60000 [============================>.] - ETA: 0s - loss: 0.1209
59008/60000 [============================>.] - ETA: 0s - loss: 0.1209
59136/60000 [============================>.] - ETA: 0s - loss: 0.1209
59264/60000 [============================>.] - ETA: 0s - loss: 0.1209
59392/60000 [============================>.] - ETA: 0s - loss: 0.1209
59520/60000 [============================>.] - ETA: 0s - loss: 0.1209
59648/60000 [============================>.] - ETA: 0s - loss: 0.1209
59776/60000 [============================>.] - ETA: 0s - loss: 0.1209
59904/60000 [============================>.] - ETA: 0s - loss: 0.1209
60000/60000 [==============================] - 26s 439us/step - loss: 0.1209 - val_loss: 0.1148
Epoch 8/50

  128/60000 [..............................] - ETA: 27s - loss: 0.1216
  256/60000 [..............................] - ETA: 26s - loss: 0.1193
  384/60000 [..............................] - ETA: 29s - loss: 0.1208
  512/60000 [..............................] - ETA: 31s - loss: 0.1204
  640/60000 [..............................] - ETA: 29s - loss: 0.1194
  768/60000 [..............................] - ETA: 28s - loss: 0.1191
  896/60000 [..............................] - ETA: 28s - loss: 0.1190
 1024/60000 [..............................] - ETA: 27s - loss: 0.1189
 1152/60000 [..............................] - ETA: 27s - loss: 0.1191
 1280/60000 [..............................] - ETA: 27s - loss: 0.1195
 1408/60000 [..............................] - ETA: 26s - loss: 0.1198
 1536/60000 [..............................] - ETA: 26s - loss: 0.1200
 1664/60000 [..............................] - ETA: 26s - loss: 0.1198
 1792/60000 [..............................] - ETA: 26s - loss: 0.1199
 1920/60000 [..............................] - ETA: 26s - loss: 0.1200
 2048/60000 [>.............................] - ETA: 26s - loss: 0.1204
 2176/60000 [>.............................] - ETA: 26s - loss: 0.1202
 2304/60000 [>.............................] - ETA: 25s - loss: 0.1204
 2432/60000 [>.............................] - ETA: 25s - loss: 0.1203
 2688/60000 [>.............................] - ETA: 25s - loss: 0.1204
 2816/60000 [>.............................] - ETA: 25s - loss: 0.1204
 2944/60000 [>.............................] - ETA: 25s - loss: 0.1207
 3072/60000 [>.............................] - ETA: 25s - loss: 0.1206
 3200/60000 [>.............................] - ETA: 24s - loss: 0.1205
 3328/60000 [>.............................] - ETA: 24s - loss: 0.1205
 3456/60000 [>.............................] - ETA: 24s - loss: 0.1203
 3584/60000 [>.............................] - ETA: 24s - loss: 0.1202
 3712/60000 [>.............................] - ETA: 24s - loss: 0.1203
 3840/60000 [>.............................] - ETA: 24s - loss: 0.1201
 3968/60000 [>.............................] - ETA: 24s - loss: 0.1202
 4096/60000 [=>............................] - ETA: 24s - loss: 0.1202
 4224/60000 [=>............................] - ETA: 24s - loss: 0.1203
 4352/60000 [=>............................] - ETA: 24s - loss: 0.1206
 4480/60000 [=>............................] - ETA: 24s - loss: 0.1208
 4608/60000 [=>............................] - ETA: 24s - loss: 0.1210
 4736/60000 [=>............................] - ETA: 24s - loss: 0.1210
 4864/60000 [=>............................] - ETA: 23s - loss: 0.1208
 4992/60000 [=>............................] - ETA: 23s - loss: 0.1207
 5120/60000 [=>............................] - ETA: 23s - loss: 0.1207
 5248/60000 [=>............................] - ETA: 23s - loss: 0.1206
 5376/60000 [=>............................] - ETA: 23s - loss: 0.1204
 5504/60000 [=>............................] - ETA: 23s - loss: 0.1203
 5632/60000 [=>............................] - ETA: 23s - loss: 0.1203
 5760/60000 [=>............................] - ETA: 23s - loss: 0.1202
 5888/60000 [=>............................] - ETA: 23s - loss: 0.1203
 6016/60000 [==>...........................] - ETA: 23s - loss: 0.1203
 6144/60000 [==>...........................] - ETA: 23s - loss: 0.1204
 6272/60000 [==>...........................] - ETA: 23s - loss: 0.1206
 6400/60000 [==>...........................] - ETA: 23s - loss: 0.1205
 6528/60000 [==>...........................] - ETA: 23s - loss: 0.1205
 6656/60000 [==>...........................] - ETA: 22s - loss: 0.1205
 6784/60000 [==>...........................] - ETA: 22s - loss: 0.1206
 6912/60000 [==>...........................] - ETA: 22s - loss: 0.1205
 7040/60000 [==>...........................] - ETA: 22s - loss: 0.1205
 7168/60000 [==>...........................] - ETA: 22s - loss: 0.1204
 7296/60000 [==>...........................] - ETA: 22s - loss: 0.1204
 7424/60000 [==>...........................] - ETA: 22s - loss: 0.1203
 7552/60000 [==>...........................] - ETA: 22s - loss: 0.1202
 7680/60000 [==>...........................] - ETA: 22s - loss: 0.1203
 7808/60000 [==>...........................] - ETA: 22s - loss: 0.1201
 7936/60000 [==>...........................] - ETA: 22s - loss: 0.1201
 8064/60000 [===>..........................] - ETA: 22s - loss: 0.1201
 8192/60000 [===>..........................] - ETA: 22s - loss: 0.1199
 8320/60000 [===>..........................] - ETA: 22s - loss: 0.1198
 8448/60000 [===>..........................] - ETA: 22s - loss: 0.1197
 8576/60000 [===>..........................] - ETA: 22s - loss: 0.1197
 8704/60000 [===>..........................] - ETA: 22s - loss: 0.1196
 8832/60000 [===>..........................] - ETA: 21s - loss: 0.1195
 8960/60000 [===>..........................] - ETA: 21s - loss: 0.1196
 9088/60000 [===>..........................] - ETA: 21s - loss: 0.1196
 9216/60000 [===>..........................] - ETA: 21s - loss: 0.1197
 9344/60000 [===>..........................] - ETA: 21s - loss: 0.1197
 9472/60000 [===>..........................] - ETA: 21s - loss: 0.1198
 9600/60000 [===>..........................] - ETA: 21s - loss: 0.1199
 9728/60000 [===>..........................] - ETA: 21s - loss: 0.1199
 9856/60000 [===>..........................] - ETA: 21s - loss: 0.1199
 9984/60000 [===>..........................] - ETA: 21s - loss: 0.1199
10112/60000 [====>.........................] - ETA: 21s - loss: 0.1198
10240/60000 [====>.........................] - ETA: 21s - loss: 0.1198
10368/60000 [====>.........................] - ETA: 21s - loss: 0.1198
10496/60000 [====>.........................] - ETA: 21s - loss: 0.1197
10624/60000 [====>.........................] - ETA: 21s - loss: 0.1197
10752/60000 [====>.........................] - ETA: 21s - loss: 0.1196
10880/60000 [====>.........................] - ETA: 20s - loss: 0.1196
11008/60000 [====>.........................] - ETA: 20s - loss: 0.1197
11136/60000 [====>.........................] - ETA: 20s - loss: 0.1197
11264/60000 [====>.........................] - ETA: 20s - loss: 0.1198
11392/60000 [====>.........................] - ETA: 20s - loss: 0.1198
11520/60000 [====>.........................] - ETA: 20s - loss: 0.1198
11648/60000 [====>.........................] - ETA: 20s - loss: 0.1198
11776/60000 [====>.........................] - ETA: 20s - loss: 0.1198
11904/60000 [====>.........................] - ETA: 20s - loss: 0.1198
12032/60000 [=====>........................] - ETA: 20s - loss: 0.1198
12160/60000 [=====>........................] - ETA: 20s - loss: 0.1198
12288/60000 [=====>........................] - ETA: 20s - loss: 0.1198
12416/60000 [=====>........................] - ETA: 20s - loss: 0.1198
12544/60000 [=====>........................] - ETA: 20s - loss: 0.1198
12672/60000 [=====>........................] - ETA: 20s - loss: 0.1198
12800/60000 [=====>........................] - ETA: 20s - loss: 0.1197
12928/60000 [=====>........................] - ETA: 20s - loss: 0.1197
13056/60000 [=====>........................] - ETA: 19s - loss: 0.1197
13184/60000 [=====>........................] - ETA: 19s - loss: 0.1197
13312/60000 [=====>........................] - ETA: 19s - loss: 0.1197
13440/60000 [=====>........................] - ETA: 19s - loss: 0.1197
13568/60000 [=====>........................] - ETA: 19s - loss: 0.1196
13696/60000 [=====>........................] - ETA: 19s - loss: 0.1196
13824/60000 [=====>........................] - ETA: 19s - loss: 0.1196
13952/60000 [=====>........................] - ETA: 19s - loss: 0.1197
14080/60000 [======>.......................] - ETA: 19s - loss: 0.1197
14208/60000 [======>.......................] - ETA: 19s - loss: 0.1198
14336/60000 [======>.......................] - ETA: 19s - loss: 0.1199
14464/60000 [======>.......................] - ETA: 19s - loss: 0.1200
14592/60000 [======>.......................] - ETA: 19s - loss: 0.1200
14720/60000 [======>.......................] - ETA: 19s - loss: 0.1200
14848/60000 [======>.......................] - ETA: 19s - loss: 0.1199
14976/60000 [======>.......................] - ETA: 19s - loss: 0.1199
15104/60000 [======>.......................] - ETA: 19s - loss: 0.1199
15232/60000 [======>.......................] - ETA: 19s - loss: 0.1199
15360/60000 [======>.......................] - ETA: 18s - loss: 0.1198
15488/60000 [======>.......................] - ETA: 18s - loss: 0.1199
15616/60000 [======>.......................] - ETA: 18s - loss: 0.1198
15744/60000 [======>.......................] - ETA: 18s - loss: 0.1199
15872/60000 [======>.......................] - ETA: 18s - loss: 0.1199
16000/60000 [=======>......................] - ETA: 18s - loss: 0.1198
16128/60000 [=======>......................] - ETA: 18s - loss: 0.1198
16256/60000 [=======>......................] - ETA: 18s - loss: 0.1198
16384/60000 [=======>......................] - ETA: 18s - loss: 0.1198
16512/60000 [=======>......................] - ETA: 18s - loss: 0.1198
16640/60000 [=======>......................] - ETA: 18s - loss: 0.1197
16768/60000 [=======>......................] - ETA: 18s - loss: 0.1197
16896/60000 [=======>......................] - ETA: 18s - loss: 0.1197
17024/60000 [=======>......................] - ETA: 18s - loss: 0.1197
17152/60000 [=======>......................] - ETA: 18s - loss: 0.1197
17280/60000 [=======>......................] - ETA: 18s - loss: 0.1197
17408/60000 [=======>......................] - ETA: 18s - loss: 0.1197
17536/60000 [=======>......................] - ETA: 17s - loss: 0.1197
17664/60000 [=======>......................] - ETA: 17s - loss: 0.1198
17792/60000 [=======>......................] - ETA: 17s - loss: 0.1197
17920/60000 [=======>......................] - ETA: 17s - loss: 0.1197
18048/60000 [========>.....................] - ETA: 17s - loss: 0.1198
18176/60000 [========>.....................] - ETA: 17s - loss: 0.1198
18304/60000 [========>.....................] - ETA: 17s - loss: 0.1198
18432/60000 [========>.....................] - ETA: 17s - loss: 0.1198
18560/60000 [========>.....................] - ETA: 17s - loss: 0.1198
18688/60000 [========>.....................] - ETA: 17s - loss: 0.1198
18816/60000 [========>.....................] - ETA: 17s - loss: 0.1198
18944/60000 [========>.....................] - ETA: 17s - loss: 0.1198
19072/60000 [========>.....................] - ETA: 17s - loss: 0.1198
19200/60000 [========>.....................] - ETA: 17s - loss: 0.1197
19328/60000 [========>.....................] - ETA: 17s - loss: 0.1197
19456/60000 [========>.....................] - ETA: 17s - loss: 0.1197
19584/60000 [========>.....................] - ETA: 17s - loss: 0.1197
19712/60000 [========>.....................] - ETA: 17s - loss: 0.1196
19840/60000 [========>.....................] - ETA: 16s - loss: 0.1196
19968/60000 [========>.....................] - ETA: 16s - loss: 0.1196
20096/60000 [=========>....................] - ETA: 16s - loss: 0.1196
20224/60000 [=========>....................] - ETA: 16s - loss: 0.1196
20352/60000 [=========>....................] - ETA: 16s - loss: 0.1196
20480/60000 [=========>....................] - ETA: 16s - loss: 0.1195
20608/60000 [=========>....................] - ETA: 16s - loss: 0.1196
20736/60000 [=========>....................] - ETA: 16s - loss: 0.1196
20864/60000 [=========>....................] - ETA: 16s - loss: 0.1195
20992/60000 [=========>....................] - ETA: 16s - loss: 0.1196
21120/60000 [=========>....................] - ETA: 16s - loss: 0.1196
21248/60000 [=========>....................] - ETA: 16s - loss: 0.1196
21376/60000 [=========>....................] - ETA: 16s - loss: 0.1196
21504/60000 [=========>....................] - ETA: 16s - loss: 0.1196
21632/60000 [=========>....................] - ETA: 16s - loss: 0.1196
21760/60000 [=========>....................] - ETA: 16s - loss: 0.1196
21888/60000 [=========>....................] - ETA: 16s - loss: 0.1196
22016/60000 [==========>...................] - ETA: 16s - loss: 0.1196
22144/60000 [==========>...................] - ETA: 16s - loss: 0.1196
22272/60000 [==========>...................] - ETA: 15s - loss: 0.1195
22400/60000 [==========>...................] - ETA: 15s - loss: 0.1195
22528/60000 [==========>...................] - ETA: 15s - loss: 0.1195
22656/60000 [==========>...................] - ETA: 15s - loss: 0.1195
22784/60000 [==========>...................] - ETA: 15s - loss: 0.1195
22912/60000 [==========>...................] - ETA: 15s - loss: 0.1195
23040/60000 [==========>...................] - ETA: 15s - loss: 0.1195
23168/60000 [==========>...................] - ETA: 15s - loss: 0.1195
23296/60000 [==========>...................] - ETA: 15s - loss: 0.1196
23424/60000 [==========>...................] - ETA: 15s - loss: 0.1195
23552/60000 [==========>...................] - ETA: 15s - loss: 0.1196
23680/60000 [==========>...................] - ETA: 15s - loss: 0.1196
23808/60000 [==========>...................] - ETA: 15s - loss: 0.1196
23936/60000 [==========>...................] - ETA: 15s - loss: 0.1196
24064/60000 [===========>..................] - ETA: 15s - loss: 0.1196
24192/60000 [===========>..................] - ETA: 15s - loss: 0.1196
24320/60000 [===========>..................] - ETA: 15s - loss: 0.1195
24448/60000 [===========>..................] - ETA: 15s - loss: 0.1195
24576/60000 [===========>..................] - ETA: 14s - loss: 0.1195
24704/60000 [===========>..................] - ETA: 14s - loss: 0.1195
24832/60000 [===========>..................] - ETA: 14s - loss: 0.1196
24960/60000 [===========>..................] - ETA: 14s - loss: 0.1196
25088/60000 [===========>..................] - ETA: 14s - loss: 0.1196
25216/60000 [===========>..................] - ETA: 14s - loss: 0.1196
25344/60000 [===========>..................] - ETA: 14s - loss: 0.1196
25472/60000 [===========>..................] - ETA: 14s - loss: 0.1196
25600/60000 [===========>..................] - ETA: 14s - loss: 0.1196
25728/60000 [===========>..................] - ETA: 14s - loss: 0.1196
25856/60000 [===========>..................] - ETA: 14s - loss: 0.1196
25984/60000 [===========>..................] - ETA: 14s - loss: 0.1195
26112/60000 [============>.................] - ETA: 14s - loss: 0.1195
26240/60000 [============>.................] - ETA: 14s - loss: 0.1195
26368/60000 [============>.................] - ETA: 14s - loss: 0.1195
26496/60000 [============>.................] - ETA: 14s - loss: 0.1195
26624/60000 [============>.................] - ETA: 14s - loss: 0.1195
26752/60000 [============>.................] - ETA: 14s - loss: 0.1195
26880/60000 [============>.................] - ETA: 14s - loss: 0.1196
27008/60000 [============>.................] - ETA: 13s - loss: 0.1196
27136/60000 [============>.................] - ETA: 13s - loss: 0.1196
27264/60000 [============>.................] - ETA: 13s - loss: 0.1195
27392/60000 [============>.................] - ETA: 13s - loss: 0.1195
27520/60000 [============>.................] - ETA: 13s - loss: 0.1196
27648/60000 [============>.................] - ETA: 13s - loss: 0.1195
27776/60000 [============>.................] - ETA: 13s - loss: 0.1196
27904/60000 [============>.................] - ETA: 13s - loss: 0.1196
28032/60000 [=============>................] - ETA: 13s - loss: 0.1196
28160/60000 [=============>................] - ETA: 13s - loss: 0.1196
28288/60000 [=============>................] - ETA: 13s - loss: 0.1196
28416/60000 [=============>................] - ETA: 13s - loss: 0.1196
28544/60000 [=============>................] - ETA: 13s - loss: 0.1196
28672/60000 [=============>................] - ETA: 13s - loss: 0.1196
28800/60000 [=============>................] - ETA: 13s - loss: 0.1196
28928/60000 [=============>................] - ETA: 13s - loss: 0.1196
29056/60000 [=============>................] - ETA: 13s - loss: 0.1196
29184/60000 [=============>................] - ETA: 13s - loss: 0.1196
29312/60000 [=============>................] - ETA: 12s - loss: 0.1196
29440/60000 [=============>................] - ETA: 12s - loss: 0.1196
29568/60000 [=============>................] - ETA: 12s - loss: 0.1196
29696/60000 [=============>................] - ETA: 12s - loss: 0.1196
29824/60000 [=============>................] - ETA: 12s - loss: 0.1196
29952/60000 [=============>................] - ETA: 12s - loss: 0.1196
30080/60000 [==============>...............] - ETA: 12s - loss: 0.1196
30208/60000 [==============>...............] - ETA: 12s - loss: 0.1196
30336/60000 [==============>...............] - ETA: 12s - loss: 0.1196
30464/60000 [==============>...............] - ETA: 12s - loss: 0.1196
30592/60000 [==============>...............] - ETA: 12s - loss: 0.1196
30720/60000 [==============>...............] - ETA: 12s - loss: 0.1196
30848/60000 [==============>...............] - ETA: 12s - loss: 0.1196
30976/60000 [==============>...............] - ETA: 12s - loss: 0.1196
31104/60000 [==============>...............] - ETA: 12s - loss: 0.1196
31232/60000 [==============>...............] - ETA: 12s - loss: 0.1196
31360/60000 [==============>...............] - ETA: 12s - loss: 0.1195
31488/60000 [==============>...............] - ETA: 12s - loss: 0.1195
31616/60000 [==============>...............] - ETA: 11s - loss: 0.1195
31744/60000 [==============>...............] - ETA: 11s - loss: 0.1195
31872/60000 [==============>...............] - ETA: 11s - loss: 0.1195
32000/60000 [===============>..............] - ETA: 11s - loss: 0.1194
32128/60000 [===============>..............] - ETA: 11s - loss: 0.1194
32256/60000 [===============>..............] - ETA: 11s - loss: 0.1194
32384/60000 [===============>..............] - ETA: 11s - loss: 0.1194
32512/60000 [===============>..............] - ETA: 11s - loss: 0.1194
32640/60000 [===============>..............] - ETA: 11s - loss: 0.1195
32768/60000 [===============>..............] - ETA: 11s - loss: 0.1195
32896/60000 [===============>..............] - ETA: 11s - loss: 0.1195
33024/60000 [===============>..............] - ETA: 11s - loss: 0.1195
33152/60000 [===============>..............] - ETA: 11s - loss: 0.1195
33280/60000 [===============>..............] - ETA: 11s - loss: 0.1194
33408/60000 [===============>..............] - ETA: 11s - loss: 0.1194
33536/60000 [===============>..............] - ETA: 11s - loss: 0.1194
33664/60000 [===============>..............] - ETA: 11s - loss: 0.1194
33792/60000 [===============>..............] - ETA: 11s - loss: 0.1194
33920/60000 [===============>..............] - ETA: 11s - loss: 0.1194
34048/60000 [================>.............] - ETA: 10s - loss: 0.1194
34176/60000 [================>.............] - ETA: 10s - loss: 0.1194
34304/60000 [================>.............] - ETA: 10s - loss: 0.1194
34432/60000 [================>.............] - ETA: 10s - loss: 0.1194
34560/60000 [================>.............] - ETA: 10s - loss: 0.1194
34688/60000 [================>.............] - ETA: 10s - loss: 0.1194
34816/60000 [================>.............] - ETA: 10s - loss: 0.1194
34944/60000 [================>.............] - ETA: 10s - loss: 0.1194
35072/60000 [================>.............] - ETA: 10s - loss: 0.1194
35200/60000 [================>.............] - ETA: 10s - loss: 0.1194
35328/60000 [================>.............] - ETA: 10s - loss: 0.1194
35456/60000 [================>.............] - ETA: 10s - loss: 0.1194
35584/60000 [================>.............] - ETA: 10s - loss: 0.1194
35712/60000 [================>.............] - ETA: 10s - loss: 0.1194
35840/60000 [================>.............] - ETA: 10s - loss: 0.1194
35968/60000 [================>.............] - ETA: 10s - loss: 0.1194
36096/60000 [=================>............] - ETA: 10s - loss: 0.1194
36224/60000 [=================>............] - ETA: 10s - loss: 0.1194
36352/60000 [=================>............] - ETA: 9s - loss: 0.1194 
36480/60000 [=================>............] - ETA: 9s - loss: 0.1194
36608/60000 [=================>............] - ETA: 9s - loss: 0.1194
36736/60000 [=================>............] - ETA: 9s - loss: 0.1194
36864/60000 [=================>............] - ETA: 9s - loss: 0.1194
36992/60000 [=================>............] - ETA: 9s - loss: 0.1193
37120/60000 [=================>............] - ETA: 9s - loss: 0.1193
37248/60000 [=================>............] - ETA: 9s - loss: 0.1193
37376/60000 [=================>............] - ETA: 9s - loss: 0.1193
37504/60000 [=================>............] - ETA: 9s - loss: 0.1193
37632/60000 [=================>............] - ETA: 9s - loss: 0.1193
37760/60000 [=================>............] - ETA: 9s - loss: 0.1193
37888/60000 [=================>............] - ETA: 9s - loss: 0.1193
38016/60000 [==================>...........] - ETA: 9s - loss: 0.1193
38144/60000 [==================>...........] - ETA: 9s - loss: 0.1193
38272/60000 [==================>...........] - ETA: 9s - loss: 0.1193
38400/60000 [==================>...........] - ETA: 9s - loss: 0.1193
38528/60000 [==================>...........] - ETA: 9s - loss: 0.1193
38656/60000 [==================>...........] - ETA: 9s - loss: 0.1193
38784/60000 [==================>...........] - ETA: 8s - loss: 0.1193
38912/60000 [==================>...........] - ETA: 8s - loss: 0.1193
39040/60000 [==================>...........] - ETA: 8s - loss: 0.1193
39168/60000 [==================>...........] - ETA: 8s - loss: 0.1193
39296/60000 [==================>...........] - ETA: 8s - loss: 0.1193
39424/60000 [==================>...........] - ETA: 8s - loss: 0.1193
39552/60000 [==================>...........] - ETA: 8s - loss: 0.1193
39680/60000 [==================>...........] - ETA: 8s - loss: 0.1193
39808/60000 [==================>...........] - ETA: 8s - loss: 0.1193
39936/60000 [==================>...........] - ETA: 8s - loss: 0.1194
40064/60000 [===================>..........] - ETA: 8s - loss: 0.1194
40192/60000 [===================>..........] - ETA: 8s - loss: 0.1194
40320/60000 [===================>..........] - ETA: 8s - loss: 0.1194
40448/60000 [===================>..........] - ETA: 8s - loss: 0.1193
40576/60000 [===================>..........] - ETA: 8s - loss: 0.1193
40704/60000 [===================>..........] - ETA: 8s - loss: 0.1193
40832/60000 [===================>..........] - ETA: 8s - loss: 0.1193
40960/60000 [===================>..........] - ETA: 8s - loss: 0.1193
41088/60000 [===================>..........] - ETA: 7s - loss: 0.1193
41216/60000 [===================>..........] - ETA: 7s - loss: 0.1193
41344/60000 [===================>..........] - ETA: 7s - loss: 0.1193
41472/60000 [===================>..........] - ETA: 7s - loss: 0.1193
41600/60000 [===================>..........] - ETA: 7s - loss: 0.1193
41728/60000 [===================>..........] - ETA: 7s - loss: 0.1193
41856/60000 [===================>..........] - ETA: 7s - loss: 0.1193
41984/60000 [===================>..........] - ETA: 7s - loss: 0.1193
42112/60000 [====================>.........] - ETA: 7s - loss: 0.1193
42240/60000 [====================>.........] - ETA: 7s - loss: 0.1193
42368/60000 [====================>.........] - ETA: 7s - loss: 0.1193
42496/60000 [====================>.........] - ETA: 7s - loss: 0.1193
42624/60000 [====================>.........] - ETA: 7s - loss: 0.1193
42752/60000 [====================>.........] - ETA: 7s - loss: 0.1193
42880/60000 [====================>.........] - ETA: 7s - loss: 0.1193
43008/60000 [====================>.........] - ETA: 7s - loss: 0.1193
43136/60000 [====================>.........] - ETA: 7s - loss: 0.1192
43264/60000 [====================>.........] - ETA: 7s - loss: 0.1192
43392/60000 [====================>.........] - ETA: 7s - loss: 0.1192
43520/60000 [====================>.........] - ETA: 6s - loss: 0.1192
43648/60000 [====================>.........] - ETA: 6s - loss: 0.1192
43776/60000 [====================>.........] - ETA: 6s - loss: 0.1192
43904/60000 [====================>.........] - ETA: 6s - loss: 0.1192
44032/60000 [=====================>........] - ETA: 6s - loss: 0.1192
44160/60000 [=====================>........] - ETA: 6s - loss: 0.1192
44288/60000 [=====================>........] - ETA: 6s - loss: 0.1192
44416/60000 [=====================>........] - ETA: 6s - loss: 0.1192
44544/60000 [=====================>........] - ETA: 6s - loss: 0.1192
44672/60000 [=====================>........] - ETA: 6s - loss: 0.1192
44800/60000 [=====================>........] - ETA: 6s - loss: 0.1192
44928/60000 [=====================>........] - ETA: 6s - loss: 0.1192
45056/60000 [=====================>........] - ETA: 6s - loss: 0.1192
45184/60000 [=====================>........] - ETA: 6s - loss: 0.1192
45312/60000 [=====================>........] - ETA: 6s - loss: 0.1192
45440/60000 [=====================>........] - ETA: 6s - loss: 0.1192
45568/60000 [=====================>........] - ETA: 6s - loss: 0.1192
45696/60000 [=====================>........] - ETA: 6s - loss: 0.1192
45824/60000 [=====================>........] - ETA: 5s - loss: 0.1192
45952/60000 [=====================>........] - ETA: 5s - loss: 0.1192
46080/60000 [======================>.......] - ETA: 5s - loss: 0.1192
46208/60000 [======================>.......] - ETA: 5s - loss: 0.1192
46336/60000 [======================>.......] - ETA: 5s - loss: 0.1192
46464/60000 [======================>.......] - ETA: 5s - loss: 0.1192
46592/60000 [======================>.......] - ETA: 5s - loss: 0.1192
46720/60000 [======================>.......] - ETA: 5s - loss: 0.1192
46848/60000 [======================>.......] - ETA: 5s - loss: 0.1192
46976/60000 [======================>.......] - ETA: 5s - loss: 0.1192
47104/60000 [======================>.......] - ETA: 5s - loss: 0.1192
47232/60000 [======================>.......] - ETA: 5s - loss: 0.1191
47360/60000 [======================>.......] - ETA: 5s - loss: 0.1191
47488/60000 [======================>.......] - ETA: 5s - loss: 0.1191
47616/60000 [======================>.......] - ETA: 5s - loss: 0.1191
47744/60000 [======================>.......] - ETA: 5s - loss: 0.1191
47872/60000 [======================>.......] - ETA: 5s - loss: 0.1191
48000/60000 [=======================>......] - ETA: 5s - loss: 0.1191
48128/60000 [=======================>......] - ETA: 5s - loss: 0.1190
48256/60000 [=======================>......] - ETA: 4s - loss: 0.1190
48384/60000 [=======================>......] - ETA: 4s - loss: 0.1190
48512/60000 [=======================>......] - ETA: 4s - loss: 0.1190
48640/60000 [=======================>......] - ETA: 4s - loss: 0.1190
48768/60000 [=======================>......] - ETA: 4s - loss: 0.1190
